GEOID,new_district
1400000US02013000100,1.0
1400000US02016000100,1.0
1400000US02016000200,1.0
1400000US02020000101,1.0
1400000US02020000102,1.0
1400000US02020000201,1.0
1400000US02020000202,1.0
1400000US02020000204,1.0
1400000US02020000205,1.0
1400000US02020000206,1.0
1400000US02020000500,1.0
1400000US02020000601,1.0
1400000US02020000602,1.0
1400000US02020000701,1.0
1400000US02020000702,1.0
1400000US02020000703,1.0
1400000US02020000801,1.0
1400000US02020000802,1.0
1400000US02020000901,1.0
1400000US02020000902,1.0
1400000US02020001000,1.0
1400000US02020001100,1.0
1400000US02020001200,1.0
1400000US02020001300,1.0
1400000US02020001401,1.0
1400000US02020001402,1.0
1400000US02020001500,1.0
1400000US02020001601,1.0
1400000US02020001602,1.0
1400000US02020001701,1.0
1400000US02020001702,1.0
1400000US02020001731,1.0
1400000US02020001732,1.0
1400000US02020001801,1.0
1400000US02020001802,1.0
1400000US02020001900,1.0
1400000US02020002000,1.0
1400000US02020002100,1.0
1400000US02020002201,1.0
1400000US02020002202,1.0
1400000US02020002301,1.0
1400000US02020002302,1.0
1400000US02020002304,1.0
1400000US02020002305,1.0
1400000US02020002400,1.0
1400000US02020002501,1.0
1400000US02020002502,1.0
1400000US02020002601,1.0
1400000US02020002602,1.0
1400000US02020002603,1.0
1400000US02020002711,1.0
1400000US02020002712,1.0
1400000US02020002713,1.0
1400000US02020002714,1.0
1400000US02020002811,1.0
1400000US02020002812,1.0
1400000US02020002813,1.0
1400000US02020002821,1.0
1400000US02020002822,1.0
1400000US02020002823,1.0
1400000US02020002900,1.0
1400000US02020980000,1.0
1400000US02020980100,1.0
1400000US02020980200,1.0
1400000US02050000100,1.0
1400000US02050000200,1.0
1400000US02050000300,1.0
1400000US02060000100,1.0
1400000US02063000200,1.0
1400000US02063000300,1.0
1400000US02066000100,1.0
1400000US02068000100,1.0
1400000US02070000100,1.0
1400000US02070000200,1.0
1400000US02090000100,1.0
1400000US02090000200,1.0
1400000US02090000300,1.0
1400000US02090000400,1.0
1400000US02090000500,1.0
1400000US02090000600,1.0
1400000US02090000700,1.0
1400000US02090000800,1.0
1400000US02090000900,1.0
1400000US02090001000,1.0
1400000US02090001200,1.0
1400000US02090001300,1.0
1400000US02090001401,1.0
1400000US02090001402,1.0
1400000US02090001501,1.0
1400000US02090001502,1.0
1400000US02090001600,1.0
1400000US02090001700,1.0
1400000US02090001901,1.0
1400000US02090001902,1.0
1400000US02090980000,1.0
1400000US02090980100,1.0
1400000US02100000100,1.0
1400000US02105000400,1.0
1400000US02110000100,1.0
1400000US02110000200,1.0
1400000US02110000300,1.0
