GEOID,new_district
1400000US51001090101,1.0
1400000US51001090102,1.0
1400000US51001090201,1.0
1400000US51001090202,1.0
1400000US51001090300,1.0
1400000US51001090401,1.0
1400000US51001090402,1.0
1400000US51001090500,1.0
1400000US51001090600,1.0
1400000US51001090700,1.0
1400000US51001090800,1.0
1400000US51001980100,1.0
1400000US51001980200,1.0
1400000US51001990100,1.0
1400000US51001990200,1.0
1400000US51003010100,6.0
1400000US51003010201,6.0
1400000US51003010202,6.0
1400000US51003010301,6.0
1400000US51003010302,6.0
1400000US51003010303,6.0
1400000US51003010401,6.0
1400000US51003010402,6.0
1400000US51003010501,6.0
1400000US51003010502,6.0
1400000US51003010602,6.0
1400000US51003010603,6.0
1400000US51003010604,6.0
1400000US51003010701,6.0
1400000US51003010702,6.0
1400000US51003010801,6.0
1400000US51003010802,6.0
1400000US51003010901,6.0
1400000US51003010904,6.0
1400000US51003011000,6.0
1400000US51003011101,6.0
1400000US51003011102,6.0
1400000US51003011103,6.0
1400000US51003011201,6.0
1400000US51003011202,6.0
1400000US51003011301,6.0
1400000US51003011302,6.0
1400000US51003011303,6.0
1400000US51003011400,6.0
1400000US51005070100,9.0
1400000US51005080100,9.0
1400000US51005080201,9.0
1400000US51005080202,9.0
1400000US51005080301,9.0
1400000US51005080302,9.0
1400000US51007930101,4.0
1400000US51007930102,4.0
1400000US51007930200,4.0
1400000US51009010100,6.0
1400000US51009010201,6.0
1400000US51009010202,6.0
1400000US51009010300,6.0
1400000US51009010401,6.0
1400000US51009010402,6.0
1400000US51009010504,6.0
1400000US51009010505,6.0
1400000US51009010506,6.0
1400000US51009010600,6.0
1400000US51011040101,6.0
1400000US51011040102,6.0
1400000US51011040200,6.0
1400000US51011040300,6.0
1400000US51013100100,8.0
1400000US51013100200,8.0
1400000US51013100300,8.0
1400000US51013100400,8.0
1400000US51013100500,8.0
1400000US51013100600,8.0
1400000US51013100700,8.0
1400000US51013100800,8.0
1400000US51013100900,8.0
1400000US51013101000,8.0
1400000US51013101100,8.0
1400000US51013101200,8.0
1400000US51013101300,8.0
1400000US51013101401,8.0
1400000US51013101402,8.0
1400000US51013101405,8.0
1400000US51013101406,8.0
1400000US51013101407,8.0
1400000US51013101408,8.0
1400000US51013101409,8.0
1400000US51013101501,8.0
1400000US51013101502,8.0
1400000US51013101503,8.0
1400000US51013101601,8.0
1400000US51013101602,8.0
1400000US51013101603,8.0
1400000US51013101701,8.0
1400000US51013101703,8.0
1400000US51013101704,8.0
1400000US51013101705,8.0
1400000US51013101801,8.0
1400000US51013101803,8.0
1400000US51013101804,8.0
1400000US51013101805,8.0
1400000US51013101900,8.0
1400000US51013102001,8.0
1400000US51013102002,8.0
1400000US51013102003,8.0
1400000US51013102100,8.0
1400000US51013102200,8.0
1400000US51013102301,8.0
1400000US51013102302,8.0
1400000US51013102400,8.0
1400000US51013102500,8.0
1400000US51013102600,8.0
1400000US51013102701,8.0
1400000US51013102702,8.0
1400000US51013102802,8.0
1400000US51013102803,8.0
1400000US51013102804,8.0
1400000US51013102901,8.0
1400000US51013102903,8.0
1400000US51013102904,8.0
1400000US51013103000,8.0
1400000US51013103100,8.0
1400000US51013103200,8.0
1400000US51013103300,8.0
1400000US51013103401,8.0
1400000US51013103403,8.0
1400000US51013103404,8.0
1400000US51013103405,8.0
1400000US51013103501,8.0
1400000US51013103503,8.0
1400000US51013103504,8.0
1400000US51013103505,8.0
1400000US51013103601,8.0
1400000US51013103602,8.0
1400000US51013103700,8.0
1400000US51013103800,8.0
1400000US51013980100,8.0
1400000US51013980200,8.0
1400000US51015070100,9.0
1400000US51015070200,9.0
1400000US51015070300,1.0
1400000US51015070400,6.0
1400000US51015070500,6.0
1400000US51015070601,6.0
1400000US51015070602,6.0
1400000US51015070603,6.0
1400000US51015070701,6.0
1400000US51015070702,6.0
1400000US51015070801,9.0
1400000US51015070802,9.0
1400000US51015070900,6.0
1400000US51015071000,6.0
1400000US51015071101,6.0
1400000US51015071102,6.0
1400000US51015071201,6.0
1400000US51015071202,6.0
1400000US51017920101,9.0
1400000US51017920102,9.0
1400000US51019030101,6.0
1400000US51019030103,6.0
1400000US51019030104,6.0
1400000US51019030202,6.0
1400000US51019030203,6.0
1400000US51019030204,6.0
1400000US51019030300,6.0
1400000US51019030401,6.0
1400000US51019030403,6.0
1400000US51019030404,6.0
1400000US51019030501,6.0
1400000US51019030503,6.0
1400000US51019030504,6.0
1400000US51019030601,6.0
1400000US51019030602,6.0
1400000US51019030603,6.0
1400000US51019030604,6.0
1400000US51019030605,6.0
1400000US51019050101,6.0
1400000US51019050102,6.0
1400000US51021040100,9.0
1400000US51021040200,9.0
1400000US51023040100,9.0
1400000US51023040200,6.0
1400000US51023040301,9.0
1400000US51023040303,9.0
1400000US51023040304,9.0
1400000US51023040401,6.0
1400000US51023040402,6.0
1400000US51023040501,6.0
1400000US51023040502,6.0
1400000US51025930100,4.0
1400000US51025930201,4.0
1400000US51025930202,4.0
1400000US51025930203,4.0
1400000US51025930301,4.0
1400000US51025930302,4.0
1400000US51027010100,9.0
1400000US51027010200,9.0
1400000US51027010300,9.0
1400000US51027010400,9.0
1400000US51027010500,9.0
1400000US51027010600,9.0
1400000US51027010700,9.0
1400000US51029930101,4.0
1400000US51029930102,4.0
1400000US51029930201,4.0
1400000US51029930202,4.0
1400000US51031020101,6.0
1400000US51031020102,6.0
1400000US51031020200,6.0
1400000US51031020300,6.0
1400000US51031020401,6.0
1400000US51031020402,6.0
1400000US51031020403,6.0
1400000US51031020500,6.0
1400000US51031020600,6.0
1400000US51031020700,6.0
1400000US51031020800,6.0
1400000US51031020900,6.0
1400000US51033030100,1.0
1400000US51033030201,1.0
1400000US51033030202,1.0
1400000US51033030300,1.0
1400000US51033030400,1.0
1400000US51033030501,1.0
1400000US51033030502,1.0
1400000US51033030503,1.0
1400000US51033030600,1.0
1400000US51035080100,9.0
1400000US51035080200,9.0
1400000US51035080300,9.0
1400000US51035080401,9.0
1400000US51035080402,9.0
1400000US51035080501,9.0
1400000US51035080502,9.0
1400000US51035080601,9.0
1400000US51035080603,9.0
