GEOID,new_district
1400000US36001000100,20.0
1400000US36001000201,20.0
1400000US36001000202,20.0
1400000US36001000301,20.0
1400000US36001000302,20.0
1400000US36001000401,20.0
1400000US36001000403,20.0
1400000US36001000404,20.0
1400000US36001000501,20.0
1400000US36001000502,20.0
1400000US36001000600,20.0
1400000US36001000700,20.0
1400000US36001000800,20.0
1400000US36001001100,20.0
1400000US36001001400,20.0
1400000US36001001500,20.0
1400000US36001001600,20.0
1400000US36001001700,20.0
1400000US36001001802,20.0
1400000US36001001803,20.0
1400000US36001001804,20.0
1400000US36001001901,20.0
1400000US36001001902,20.0
1400000US36001002000,20.0
1400000US36001002100,20.0
1400000US36001002200,20.0
1400000US36001002300,20.0
1400000US36001002500,20.0
1400000US36001002600,20.0
1400000US36001012700,20.0
1400000US36001012800,20.0
1400000US36001012900,20.0
1400000US36001013000,20.0
1400000US36001013100,20.0
1400000US36001013200,20.0
1400000US36001013300,20.0
1400000US36001013400,20.0
1400000US36001013503,20.0
1400000US36001013505,20.0
1400000US36001013507,20.0
1400000US36001013509,20.0
1400000US36001013510,20.0
1400000US36001013511,20.0
1400000US36001013512,20.0
1400000US36001013602,20.0
1400000US36001013603,20.0
1400000US36001013604,20.0
1400000US36001013703,20.0
1400000US36001013706,20.0
1400000US36001013707,20.0
1400000US36001013708,20.0
1400000US36001013709,20.0
1400000US36001013802,20.0
1400000US36001013803,20.0
1400000US36001013804,20.0
1400000US36001013901,20.0
1400000US36001013902,20.0
1400000US36001014001,20.0
1400000US36001014002,20.0
1400000US36001014100,20.0
1400000US36001014201,20.0
1400000US36001014202,20.0
1400000US36001014203,20.0
1400000US36001014301,20.0
1400000US36001014303,20.0
1400000US36001014304,20.0
1400000US36001014401,20.0
1400000US36001014402,20.0
1400000US36001014501,20.0
1400000US36001014502,20.0
1400000US36001014503,20.0
1400000US36001014606,20.0
1400000US36001014608,20.0
1400000US36001014609,20.0
1400000US36001014611,20.0
1400000US36001014612,20.0
1400000US36001014613,20.0
1400000US36001014614,20.0
1400000US36001014615,20.0
1400000US36001014616,20.0
1400000US36001014617,20.0
1400000US36001014700,20.0
1400000US36001014801,20.0
1400000US36001014802,20.0
1400000US36001014803,20.0
1400000US36003940200,22.0
1400000US36003950100,22.0
1400000US36003950300,22.0
1400000US36003950401,22.0
1400000US36003950402,22.0
1400000US36003950500,22.0
1400000US36003950600,22.0
1400000US36003950700,22.0
1400000US36003950800,22.0
1400000US36003950900,22.0
1400000US36003951000,22.0
1400000US36003951100,22.0
1400000US36003951201,22.0
1400000US36003951202,22.0
1400000US36003951301,22.0
1400000US36003951302,22.0
1400000US36005000100,15.0
1400000US36005000200,15.0
1400000US36005000400,15.0
1400000US36005001600,15.0
1400000US36005001901,15.0
1400000US36005001902,15.0
1400000US36005001903,15.0
1400000US36005001904,15.0
1400000US36005002001,15.0
1400000US36005002002,15.0
1400000US36005002300,15.0
1400000US36005002400,15.0
1400000US36005002500,15.0
1400000US36005002701,15.0
1400000US36005002702,15.0
1400000US36005002800,15.0
1400000US36005003100,15.0
1400000US36005003300,15.0
1400000US36005003500,15.0
1400000US36005003700,15.0
1400000US36005003800,15.0
1400000US36005003900,15.0
1400000US36005004001,15.0
1400000US36005004100,15.0
1400000US36005004200,15.0
1400000US36005004300,15.0
1400000US36005004400,15.0
1400000US36005004600,15.0
1400000US36005004800,15.0
1400000US36005005001,15.0
1400000US36005005002,15.0
1400000US36005005100,15.0
1400000US36005005200,15.0
1400000US36005005300,15.0
1400000US36005005400,15.0
1400000US36005005600,15.0
1400000US36005005902,15.0
1400000US36005006000,15.0
1400000US36005006100,15.0
1400000US36005006200,15.0
1400000US36005006301,15.0
1400000US36005006302,15.0
1400000US36005006400,15.0
1400000US36005006500,15.0
1400000US36005006700,15.0
1400000US36005006800,15.0
1400000US36005006900,15.0
1400000US36005007000,15.0
1400000US36005007100,15.0
1400000US36005007200,15.0
1400000US36005007300,15.0
1400000US36005007400,15.0
1400000US36005007500,15.0
1400000US36005007600,15.0
1400000US36005007700,15.0
1400000US36005007800,15.0
1400000US36005007900,15.0
1400000US36005008300,15.0
1400000US36005008400,15.0
1400000US36005008500,15.0
1400000US36005008600,15.0
1400000US36005008700,15.0
1400000US36005008900,15.0
1400000US36005009000,15.0
1400000US36005009200,15.0
1400000US36005009301,15.0
1400000US36005009302,15.0
1400000US36005009600,15.0
1400000US36005009800,15.0
1400000US36005011000,15.0
1400000US36005011502,15.0
1400000US36005011701,15.0
1400000US36005011702,15.0
1400000US36005011800,15.0
1400000US36005011900,15.0
1400000US36005012101,15.0
1400000US36005012102,15.0
1400000US36005012300,15.0
1400000US36005012500,15.0
1400000US36005012701,15.0
1400000US36005012901,15.0
1400000US36005013000,15.0
1400000US36005013100,15.0
1400000US36005013200,15.0
1400000US36005013300,15.0
1400000US36005013500,15.0
1400000US36005013800,15.0
1400000US36005014100,15.0
1400000US36005014300,15.0
1400000US36005014400,15.0
1400000US36005014500,15.0
1400000US36005014701,15.0
1400000US36005014702,15.0
1400000US36005014900,15.0
1400000US36005015100,15.0
1400000US36005015200,15.0
1400000US36005015300,15.0
1400000US36005015500,15.0
1400000US36005015700,15.0
1400000US36005015800,15.0
1400000US36005015900,15.0
1400000US36005016000,15.0
1400000US36005016100,15.0
1400000US36005016200,15.0
1400000US36005016300,15.0
1400000US36005016400,15.0
1400000US36005016500,15.0
1400000US36005016600,15.0
1400000US36005016700,15.0
