GEOID,new_district
1400000US48001950100,5.0
1400000US48001950401,11.0
1400000US48001950402,11.0
1400000US48001950500,5.0
1400000US48001950600,5.0
1400000US48001950700,5.0
1400000US48001950800,5.0
1400000US48001950901,5.0
1400000US48001950902,5.0
1400000US48001951001,5.0
1400000US48001951002,5.0
1400000US48001951100,11.0
1400000US48003950100,19.0
1400000US48003950200,19.0
1400000US48003950300,19.0
1400000US48003950400,19.0
1400000US48005000102,36.0
1400000US48005000103,36.0
1400000US48005000104,36.0
1400000US48005000201,36.0
1400000US48005000202,36.0
1400000US48005000301,36.0
1400000US48005000302,36.0
1400000US48005000400,36.0
1400000US48005000500,36.0
1400000US48005000600,36.0
1400000US48005000700,36.0
1400000US48005000800,36.0
1400000US48005000902,36.0
1400000US48005000903,36.0
1400000US48005000904,36.0
1400000US48005001001,36.0
1400000US48005001002,36.0
1400000US48005001101,36.0
1400000US48005001102,36.0
1400000US48005001200,36.0
1400000US48005001300,36.0
1400000US48007950101,27.0
1400000US48007950102,27.0
1400000US48007950103,27.0
1400000US48007950200,27.0
1400000US48007950301,27.0
1400000US48007950302,27.0
1400000US48007950400,27.0
1400000US48007950501,27.0
1400000US48007950502,27.0
1400000US48007950503,27.0
1400000US48007990000,27.0
1400000US48009020100,13.0
1400000US48009020200,13.0
1400000US48009020300,13.0
1400000US48011950100,13.0
1400000US48013960101,23.0
1400000US48013960102,23.0
1400000US48013960203,23.0
1400000US48013960204,23.0
1400000US48013960205,23.0
1400000US48013960206,23.0
1400000US48013960300,23.0
1400000US48013960401,23.0
1400000US48013960403,23.0
1400000US48013960404,23.0
1400000US48013960500,23.0
1400000US48013960601,23.0
1400000US48013960602,23.0
1400000US48015760100,22.0
1400000US48015760201,22.0
1400000US48015760202,22.0
1400000US48015760301,22.0
1400000US48015760302,22.0
1400000US48015760400,22.0
1400000US48015760501,22.0
1400000US48015760502,22.0
1400000US48017950101,19.0
1400000US48017950102,19.0
1400000US48019000101,23.0
1400000US48019000103,23.0
1400000US48019000104,23.0
1400000US48019000200,23.0
1400000US48019000301,23.0
1400000US48019000302,23.0
1400000US48019000400,23.0
1400000US48021950101,35.0
1400000US48021950102,35.0
1400000US48021950201,35.0
1400000US48021950202,35.0
1400000US48021950301,35.0
1400000US48021950302,35.0
